MUTATO_KOD;MUTATO_FOCSOP_MEGNEV;MUTATO_MEGNEV
TYWJ010;Egészségügy, szociális ellátás;Száz lakosra jutó elbocsátott, kiírt kórházi betegek száma
TYWJ113;Egészségügy, szociális ellátás;Tízezer lakosra jutó egynapos ellátási esetek száma
TYWV002;Ipar;Telephely szerinti ipari termelési volumenindex (4 fő felett)
TYWJ003;Egészségügy, szociális ellátás;A járóbeteg-szakellátás száz lakosra jutó megjelenési esetszáma
TYWJ007;Egészségügy, szociális ellátás;A járóbeteg-szakellátás száz lakosra jutó beavatkozási esetszáma 
TYWJ008;Egészségügy, szociális ellátás;Száz lakosra jutó teljesített évi szakorvosi munkaórák száma a járóbeteg-szakellátásban
TYWJ107;Egészségügy, szociális ellátás;Nyugdíjban, ellátásban, járadékban és egyéb járandóságban részesülők aránya a népességben
TYWJ108;Egészségügy, szociális ellátás;Az öregségi nyugdíj egy főre jutó havi átlagösszege
TYWJ111;Egészségügy, szociális ellátás;Megváltozott munkaképességűeknek járó ellátásokban részesülők aránya a teljes népességben
TYWJ105;Egészségügy, szociális ellátás;Ezer 0–24 éves lakosra jutó rendszeres gyermekvédelmi kedvezményben részesítettek száma
TYWJ106;Egészségügy, szociális ellátás;Ezer 18–65 éves lakosra jutó foglalkoztatást helyettesítő támogatásban részesítettek száma
TYWK003;Oktatás;A 3–5 éves népességből az óvodások aránya
TYWK201;Oktatás;A 16 éves népességből a nappali oktatásban részt vevők aránya
TYWK301;Oktatás;A nem helyben lakó felsőoktatásban résztvevő hallgatók aránya a nappali képzésben
TYWK302;Oktatás;A 20 éves népességből a nappali oktatásban részt vevők aránya
TYWP013;Gazdasági szervezetek;Egy működő vállalkozásra jutó foglalkoztatottak száma 
TYWP014;Gazdasági szervezetek;Egy működő vállalkozásra jutó árbevétel
TYWP015;Gazdasági szervezetek;Egy működő vállalkozásra jutó hozzáadott érték
TYWJ005;Egészségügy, szociális ellátás;Tízezer lakosra jutó dolgozó orvosok száma
TYWA001;Terület, továbbvezetett lakónépesség;Népsűrűség, december 31-én
TYWA002;Terület, továbbvezetett lakónépesség;A települések átlagos népessége, december 31-én
TYWA101;Terület, továbbvezetett lakónépesség;Az idős népesség eltartottsági rátája, december 31-én
TYWA102;Terület, továbbvezetett lakónépesség;A gyermeknépesség eltartottsági rátája, december 31-én
TYWA201;Terület, továbbvezetett lakónépesség;Öregedési index, december 31-én
TYWB001;Népmozgalom;Élveszületés ezer lakosra
TYWB101;Népmozgalom;Halálozás ezer lakosra
TYWB103;Népmozgalom;Száz élveszületésre jutó terhességmegszakítás 
TYWB105;Népmozgalom;Ezer élveszülöttre jutó 1 éven aluli meghalt 
TYWB107;Népmozgalom;Ezer férfira jutó halálozás
TYWB108;Népmozgalom;Ezer nőre jutó halálozás
TYWB201;Népmozgalom;Természetes szaporodás, illetve fogyás ezer lakosra
TYWB301;Népmozgalom;Házasságkötés ezer lakosra
TYWB305;Népmozgalom;Válás ezer lakosra
TYWB002;Népmozgalom;Házasságon kívüli élveszületések aránya 
TYWB004;Népmozgalom;A 2500 grammon aluli élveszületések aránya 
TYWB005;Népmozgalom;Az nők átlagos életkora az első gyermek születésekor az anya tényleges lakóhelye szerint
TYWB006;Népmozgalom;A 37. terhességi héten aluli élveszülöttek aránya
TYWB007;Népmozgalom;Az élveszületési sorrend átlaga
TYWB102;Népmozgalom;Száz élveszületésre jutó összes magzati halálozás 
TYWB104;Népmozgalom;Teljes terhességmegszakítási arányszám
TYWB106;Népmozgalom;Ezer születésre jutó születés körüli halálozás 
TYWB109;Népmozgalom;Az európai népesség kormegoszlására standardizált halálozási arányszám, százezer lakosra
TYWB110;Népmozgalom;Standardizált halandósági hányados
TYWB302;Népmozgalom;Férfiak átlagos életkora házasságkötéskor
TYWB303;Népmozgalom;Nők átlagos életkora házasságkötéskor
TYWB304;Népmozgalom;A nők teljes első házasságkötési arányszáma
TYWB306;Népmozgalom;Teljes válási arányszám
TYWQ001;Személyi jövedelemadó;Az ezer lakosra jutó adózók száma
TYWV001;Építőipar;Építőipari termelés volumenindexe, kivitelezési helye szerint (4 fő feletti építőipari szervezetek)
